id,score
13224900,0.0
13224500,0.1364
13224400,0.0
13224300,0.0
13224200,0.0
13222400,0.0
13221200,0.25
13220300,-0.25
13220301,0.0
13220000,-0.1
13513900,0.0
13513901,0.0
13512600,-0.2
13512601,-0.025
13511600,0.0
13511500,-0.3125
13511501,-0.25
13511502,-0.4
13511200,0.0
13510500,0.5429
13504700,0.3
13504500,0.3
13504100,0.2
13504101,0.0
13175400,0.0
13173400,0.0
13173300,0.0
13173200,0.0
13173100,0.05
13173101,0.025
13173000,0.0
13172500,-0.2
13172200,-0.1
13470700,0.0625
13465900,0.0
13465500,0.1
13465501,-0.4
13465400,0.0
13465401,0.0
13464300,0.2333
13461600,0.0
13172100,-0.05
13172000,-0.4
13171100,0.0
13365800,0.0
13365400,0.0
13365401,0.0
13365100,-0.4688
13364400,0.0
13362600,0.0
13362200,0.0
13361900,0.0121
13360900,-0.0625
13360200,-0.8
13355900,0.0
13071900,0.0
13071901,0.0
13071902,0.25
13070300,0.0
13070200,0.0
13070000,0.1429
13065900,-0.0833
13064900,0.1364
13063000,0.0
13345300,0.0
13062700,0.0
13061600,0.0
13060400,0.0
13354100,0.1364
13353700,0.1364
13353400,0.1
13352400,0.0
13351400,-0.4
13351300,0.0
13350600,0.0
13350000,0.1429
13345900,0.1364
13345800,0.0833
13345801,0.0
13345802,0.0
13345700,0.0
13345301,0.3
13345302,0.25
13344600,-0.0333
13344500,-0.1
13344100,0.0
13060300,0.0
13054200,0.4333
13341600,-0.1667
13340300,0.0
13335400,-0.2
13052100,0.0
11344400,-0.3
11344200,0.0
11343800,0.0
11343300,0.1364
11342900,0.0
12025600,0.1364
11342600,0.0
11342200,1.0
