word,score
bros,0.00642581886416943
``,0.0060932001194029485
'',0.00573262788339045
dutch,0.005594787383630928
dicky,0.00511685576220899
police,0.004651691381696998
said,0.004519373081569208
service,0.004247172080983191
khan,0.004107490072108923
event,0.004021020614881088
congress,0.00398548822618736
system,0.003943445329529462
charles,0.0036118981850886992
's,0.00361046234168524
online,0.003539739743511497
market,0.0035260374295557717
year,0.0035024800189478885
st.,0.003464591206233193
november,0.0034470527122350174
week,0.0034283283246409986
force,0.0034011482496344473
center,0.003393546167507979
sunday,0.003385243582519075
hospital,0.0033599905556342376
energy,0.0033283500523715315
court,0.0033259314045008402
people,0.003302935915456157
ministry,0.0032705723588350734
government,0.0032694401231626747
--,0.00326134507062439
chip,0.0031902794414789145
department,0.0031594786444299828
new,0.00315619000099512
district,0.00309555905070128
cement,0.0030756616422878387
business,0.0030756467513587543
gift,0.0030701134573253947
power,0.0030312175361735375
case,0.003024925427314211
say,0.0029861391402475723
russian,0.0029534819815814793
team,0.0029516845045470972
n't,0.0029081939402722944
student,0.002897376490305529
city,0.002887938631654231
trump,0.002886122719997781
stock,0.0028710286342753166
operation,0.002856968349744384
shop,0.002853637492417176
two,0.0028472131579942773
time,0.0028466436146900105
career,0.0028429346989692463
one,0.0028307583655663472
entry,0.002813690851284194
data,0.002806041428282079
company,0.0028033175073331885
initiative,0.0027939625251382104
islamabad,0.0027493553349182635
minister,0.0027403258454866074
operates,0.0027321448608366664
sector,0.0027271999182544846
according,0.0027077910751508783
drone,0.00268054845840611
area,0.0026675029748922715
security,0.002666135111084053
nexperia,0.0026584995672454016
game,0.0026555811990808353
national,0.002648671273063794
coffee,0.00264058535018177
home,0.002635631304169353
report,0.0026280111016035094
space,0.002627779563129473
startup,0.002619494277695724
season,0.002606197670796909
day,0.002598839319720539
harvester,0.0025871742617910626
billion,0.002550804249418598
news,0.002534495914146764
get,0.002510187084270836
village,0.002505443041374033
gaza,0.0025028098836891804
insurance,0.002493942422711615
export,0.00248479312136085
bonus,0.002481828243945678
session,0.002480070775359608
state,0.0024720663999183677
china,0.002467871892827862
cc,0.002466596664518587
used,0.002446315914037055
like,0.0024433771142059373
country,0.002441266510505638
also,0.0024373176537183833
facility,0.0024366976904426226
supreme,0.0024131636163752168
well,0.002408251123973568
blue,0.0023980062203205216
organized,0.0023965345630951322
ukrainian,0.0023964105321766433
india,0.0023925210338998737
saturday,0.002381724757423656
right,0.0023731286721178878
official,0.002369814154926862
around,0.002366457754009417
paddy,0.002359419576586109
expected,0.0023566919614969413
agricultural,0.002351862849369592
car,0.002350188080822572
back,0.002344628874450853
trade,0.0023405005104877013
infant,0.002303961003744218
could,0.0022765109583696335
last,0.0022677932853226897
test,0.002266732307387908
temperature,0.0022658737702429326
non-profit,0.002264837796387586
production,0.0022622323058557824
arrest,0.0022578990907599285
leak,0.002254216135860739
price,0.002248009290496456
water,0.002244965394004099
place,0.0022412133240421388
tourism,0.002222824749295778
bangladesh,0.0022149445908620654
vehicle,0.0022141636458403047
bet,0.0022060695501739365
kumon,0.0022060695501739365
october,0.0021906796042790557
part,0.0021859007794835877
emission,0.0021830753577274905
pro,0.002172250087730232
design,0.002171405592255196
lakh,0.0021671108035078634
israeli,0.0021635027719407143
bitcoin,0.0021628979347106496
morning,0.0021624489884388256
company-operated,0.00214193962138981
laboratory,0.00214193962138981
explosion,0.00214193962138981
rebel,0.00214193962138981
east,0.0021409899392716507
per,0.0021352022270975774
biochar,0.002134847106087195
must,0.0021324033506575275
mentioned,0.002127757058968504
christmas,0.0021263282794645967
bus,0.002125463162763735
protest,0.002121920013865285
still,0.0020972701683827206
ghana,0.0020932591754491327
near,0.002089955029318016
honor,0.0020860337477420915
president,0.0020845576070673043
attack,0.002079074032166619
learning,0.002078897147459987
sent,0.0020699190131109415
list,0.0020644971570485827
atc,0.0020620165011886976
uzma,0.0020620165011886976
aleema,0.0020620165011886976
acu,0.002055879547316112
make,0.0020555777703252284
child,0.0020552662925123906
administration,0.002054332553043486
community,0.0020479513503490966
heist,0.0020467423048835965
louvre,0.0020467423048835965
stated,0.002041387538538238
lake,0.002040314376551453
investor,0.0020388492484960585
coming,0.002036837523181269
reported,0.002036441378632829
help,0.002035148906596515
office,0.0020288534629820274
road,0.002013803531467847
airport,0.00201196950520664
punjab,0.0020107977323256406
county,0.002008011999009443
first,0.0020069387645968413
unrwa,0.0020022479069513443
material,0.0020015644900663082
among,0.0020003639537717333
live,0.001995410902790935
mile,0.00197855565664326
authority,0.001975529318746596
investigation,0.0019737177700006546
cut,0.0019734530565266506
farmer,0.001964607072661448
since,0.0019563162857730095
recent,0.001951786319409381
class,0.0019492206903451404
inc.,0.0019437367904415962
co,0.0019430091773291838
fragrance,0.0019390190256791963
line,0.001934791638719101
payment,0.0019310103283762454
industry,0.001927451293210968
across,0.0019268942995508851
food,0.0019262459593198597
wind,0.001923102694047841
humanitarian,0.0019229359396028898
group,0.0019213109785623642
supply,0.0019192221455650094
would,0.0019191124190763803
fee,0.0019141768193344016
three,0.0019048514612589227
best,0.0019023972012196869
friday,0.001899884512028655
bank,0.0018975752349520364
catalyst,0.0018917893376978032
‎‎‎,0.0018866665749773445
تستمر,0.0018866665749773445
نوفمبر,0.0018866665749773445
الأنباء,0.0018866665749773445
وكالة,0.0018866665749773445
السعودية,0.0018866665749773445
including,0.0018791964585449454
battery,0.0018768558490039763
south,0.001873829412424484
united,0.0018732229718761639
chicago,0.0018636993424463448
van,0.0018619959685636461
flight,0.0018580143508249512
mining,0.0018547484983928145
carnival,0.001854430947377755
